rms,mean,std,variance,max,min,peak_to_peak,kurtosis,crest_factor,dominant_frequency,spectral_energy,label
0.037135,-2.9e-05,0.037135,0.001379,0.084442,-0.08383,0.168272,1.817424,2.273921,48.83,0.001053,HEALTHY
0.037195,0.000629,0.03719,0.001383,0.084599,-0.081808,0.166406,1.836962,2.274447,48.83,0.001061,HEALTHY
0.036471,0.000125,0.036471,0.00133,0.082478,-0.093063,0.175541,1.833501,2.261458,48.83,0.000977,HEALTHY
0.037541,0.000428,0.037538,0.001409,0.078493,-0.087452,0.165945,1.836128,2.090874,48.83,0.001057,HEALTHY
0.03742,0.0005,0.037416,0.0014,0.080806,-0.082712,0.163518,1.796338,2.159455,48.83,0.001062,HEALTHY
0.036836,0.000532,0.036832,0.001357,0.079386,-0.078919,0.158305,1.840779,2.155146,48.83,0.001032,HEALTHY
0.037515,0.000526,0.037511,0.001407,0.080992,-0.080298,0.16129,1.801705,2.158938,48.83,0.001082,HEALTHY
0.03738,0.000671,0.037374,0.001397,0.084438,-0.086372,0.17081,1.867592,2.25888,48.83,0.001048,HEALTHY
0.03716,0.000498,0.037156,0.001381,0.088994,-0.082484,0.171478,1.793732,2.394925,48.83,0.001052,HEALTHY
0.037016,0.000334,0.037015,0.00137,0.090861,-0.0813,0.172162,1.788215,2.454631,48.83,0.001066,HEALTHY
0.037185,0.00054,0.037181,0.001382,0.080595,-0.086165,0.16676,1.789552,2.167384,48.83,0.001053,HEALTHY
0.037021,0.000478,0.037018,0.00137,0.082412,-0.091809,0.174221,1.806484,2.226072,48.83,0.001018,HEALTHY
0.037673,0.000419,0.03767,0.001419,0.083641,-0.082162,0.165803,1.792234,2.220204,48.83,0.001076,HEALTHY
0.037134,-7.5e-05,0.037133,0.001379,0.082911,-0.08315,0.166062,1.823592,2.232781,48.83,0.00104,HEALTHY
0.037084,0.00026,0.037083,0.001375,0.089062,-0.082251,0.171313,1.802188,2.401639,48.83,0.001036,HEALTHY
0.036639,0.000499,0.036636,0.001342,0.086976,-0.081212,0.168188,1.825439,2.373839,48.83,0.00102,HEALTHY
0.03697,0.000318,0.036969,0.001367,0.086448,-0.080785,0.167233,1.806041,2.338323,48.83,0.001049,HEALTHY
0.037314,0.000372,0.037312,0.001392,0.076948,-0.088285,0.165232,1.798406,2.062175,48.83,0.001052,HEALTHY
0.037264,0.001017,0.037251,0.001388,0.097468,-0.082754,0.180222,1.821724,2.615583,48.83,0.001067,HEALTHY
0.037121,0.000644,0.037115,0.001378,0.08196,-0.095385,0.177345,1.792122,2.207937,48.83,0.001043,HEALTHY
0.037111,0.00044,0.037109,0.001377,0.076014,-0.080866,0.156881,1.773431,2.048282,48.83,0.001044,HEALTHY
0.036922,0.000578,0.036918,0.001363,0.083242,-0.088096,0.171338,1.833168,2.254526,48.83,0.001018,HEALTHY
0.036976,0.000262,0.036975,0.001367,0.09113,-0.079915,0.171046,1.81797,2.464559,48.83,0.001037,HEALTHY
0.037116,0.00058,0.037112,0.001377,0.086755,-0.08748,0.174235,1.827652,2.337399,48.83,0.001035,HEALTHY
0.036891,0.000191,0.036891,0.001361,0.090645,-0.079119,0.169763,1.831307,2.457072,48.83,0.001025,HEALTHY
0.036992,0.000338,0.036991,0.001368,0.089098,-0.085042,0.17414,1.807264,2.408577,48.83,0.001031,HEALTHY
0.037012,7.5e-05,0.037012,0.00137,0.075658,-0.07413,0.149788,1.758298,2.044166,48.83,0.001053,HEALTHY
0.037342,0.000765,0.037334,0.001394,0.077626,-0.080835,0.15846,1.82291,2.078784,48.83,0.001037,HEALTHY
0.037067,0.000453,0.037064,0.001374,0.0827,-0.07823,0.16093,1.797373,2.231107,48.83,0.001041,HEALTHY
0.037185,0.000206,0.037185,0.001383,0.082221,-0.08481,0.167031,1.820058,2.211104,48.83,0.001063,HEALTHY
0.037386,0.000278,0.037385,0.001398,0.085225,-0.079549,0.164775,1.815993,2.279584,48.83,0.001073,HEALTHY
0.037308,0.000865,0.037298,0.001391,0.079857,-0.085604,0.165461,1.805732,2.140457,48.83,0.001063,HEALTHY
0.037273,0.000465,0.03727,0.001389,0.079231,-0.07846,0.157691,1.804255,2.125707,48.83,0.001072,HEALTHY
0.037371,0.00052,0.037367,0.001396,0.088056,-0.079999,0.168055,1.803179,2.356259,48.83,0.001058,HEALTHY
0.037004,0.000288,0.037002,0.001369,0.077956,-0.07804,0.155996,1.798629,2.106718,48.83,0.001043,HEALTHY
0.03693,0.000258,0.036929,0.001364,0.081071,-0.079562,0.160633,1.805192,2.195242,48.83,0.001056,HEALTHY
0.037383,4.7e-05,0.037383,0.001397,0.080933,-0.080382,0.161316,1.793439,2.164999,48.83,0.001065,HEALTHY
0.036979,0.000438,0.036976,0.001367,0.082885,-0.083799,0.166684,1.828432,2.241433,48.83,0.001033,HEALTHY
0.036968,0.001037,0.036953,0.001366,0.086067,-0.076618,0.162686,1.808946,2.328154,48.83,0.001038,HEALTHY
0.036881,0.000272,0.03688,0.00136,0.078145,-0.081643,0.159787,1.808018,2.118835,48.83,0.00104,HEALTHY
0.036842,0.000321,0.03684,0.001357,0.077483,-0.079581,0.157063,1.802699,2.103122,48.83,0.001038,HEALTHY
0.036765,0.000889,0.036754,0.001351,0.081206,-0.086507,0.167713,1.798836,2.208788,48.83,0.001036,HEALTHY
0.036952,0.000232,0.036951,0.001365,0.097107,-0.083953,0.181059,1.828363,2.627928,48.83,0.001037,HEALTHY
0.036635,0.000386,0.036633,0.001342,0.080137,-0.080611,0.160748,1.783542,2.187426,48.83,0.001043,HEALTHY
0.037087,-9.1e-05,0.037087,0.001375,0.076286,-0.086389,0.162675,1.802276,2.056954,48.83,0.001054,HEALTHY
0.036978,0.000628,0.036972,0.001367,0.084572,-0.087739,0.172311,1.823833,2.287104,48.83,0.001023,HEALTHY
0.036682,0.000276,0.036681,0.001346,0.080294,-0.078692,0.158987,1.837438,2.188898,48.83,0.001024,HEALTHY
0.036707,0.000509,0.036703,0.001347,0.080148,-0.08175,0.161898,1.80502,2.183483,48.83,0.00105,HEALTHY
0.03729,0.000497,0.037287,0.00139,0.084421,-0.078373,0.162794,1.820279,2.263916,48.83,0.00106,HEALTHY
0.037155,0.000436,0.037153,0.00138,0.090532,-0.083953,0.174484,1.839747,2.436576,48.83,0.001041,HEALTHY
0.036928,0.000419,0.036926,0.001364,0.083372,-0.080581,0.163952,1.810233,2.257685,48.83,0.001035,HEALTHY
0.03724,0.000586,0.037235,0.001386,0.079718,-0.081787,0.161505,1.820258,2.140653,48.83,0.001062,HEALTHY
0.037047,0.000451,0.037044,0.001372,0.088499,-0.082631,0.17113,1.800334,2.38883,48.83,0.001054,HEALTHY
0.036775,0.000793,0.036767,0.001352,0.08052,-0.087354,0.167874,1.830633,2.189532,48.83,0.001018,HEALTHY
0.037166,0.000486,0.037163,0.001381,0.082928,-0.081741,0.164669,1.828707,2.231266,48.83,0.001054,HEALTHY
0.037125,2.7e-05,0.037125,0.001378,0.081109,-0.09739,0.178499,1.773176,2.184754,48.83,0.001042,HEALTHY
0.037017,0.00032,0.037015,0.00137,0.083515,-0.083102,0.166617,1.8094,2.256147,48.83,0.001043,HEALTHY
0.037382,-0.000167,0.037381,0.001397,0.082624,-0.082208,0.164832,1.828108,2.210272,48.83,0.001062,HEALTHY
0.037312,0.000326,0.037311,0.001392,0.08142,-0.082907,0.164327,1.819956,2.182114,48.83,0.001061,HEALTHY
0.037381,0.000615,0.037376,0.001397,0.080891,-0.080433,0.161324,1.802512,2.163939,48.83,0.001063,HEALTHY
0.036937,0.000688,0.036931,0.001364,0.083245,-0.088423,0.171668,1.827663,2.253692,48.83,0.001049,HEALTHY
0.037107,0.000374,0.037105,0.001377,0.075554,-0.089536,0.165091,1.802893,2.036129,48.83,0.00106,HEALTHY
0.037185,0.000309,0.037183,0.001383,0.087846,-0.081504,0.16935,1.810279,2.36243,48.83,0.001051,HEALTHY
0.036926,0.000453,0.036923,0.001363,0.083658,-0.078215,0.161872,1.800239,2.265547,48.83,0.001033,HEALTHY
0.037076,0.000101,0.037076,0.001375,0.083781,-0.090833,0.174614,1.81927,2.259706,48.83,0.001054,HEALTHY
0.037304,0.000162,0.037304,0.001392,0.081117,-0.093828,0.174945,1.815089,2.17448,48.83,0.001055,HEALTHY
0.036839,0.000214,0.036838,0.001357,0.079658,-0.087404,0.167062,1.812548,2.162338,48.83,0.001033,HEALTHY
0.036973,0.000451,0.036971,0.001367,0.079359,-0.08177,0.161129,1.823501,2.146382,48.83,0.001046,HEALTHY
0.036972,0.000385,0.03697,0.001367,0.081563,-0.088971,0.170534,1.811052,2.206074,48.83,0.001048,HEALTHY
0.037181,0.000441,0.037178,0.001382,0.080407,-0.087024,0.167431,1.785889,2.162605,48.83,0.001049,HEALTHY
0.037453,0.000261,0.037452,0.001403,0.075582,-0.090145,0.165727,1.797824,2.018047,48.83,0.001092,HEALTHY
0.037255,0.000484,0.037252,0.001388,0.083295,-0.093285,0.17658,1.77803,2.235805,48.83,0.001029,HEALTHY
0.036699,0.000308,0.036698,0.001347,0.076302,-0.083803,0.160106,1.801686,2.079154,48.83,0.001039,HEALTHY
0.036684,0.000641,0.036678,0.001345,0.081458,-0.088863,0.170322,1.847712,2.220534,48.83,0.001023,HEALTHY
0.036972,0.000413,0.036969,0.001367,0.082548,-0.076681,0.159228,1.801354,2.232736,48.83,0.001035,HEALTHY
0.036804,0.000681,0.036797,0.001354,0.0873,-0.091349,0.178649,1.844278,2.372055,48.83,0.001007,HEALTHY
0.037186,0.00054,0.037182,0.001383,0.08529,-0.077398,0.162688,1.819719,2.293592,48.83,0.001067,HEALTHY
0.037256,0.000541,0.037252,0.001388,0.089963,-0.080137,0.1701,1.812856,2.414729,48.83,0.001047,HEALTHY
0.037007,0.000517,0.037003,0.001369,0.081951,-0.075434,0.157385,1.805338,2.214481,48.83,0.001014,HEALTHY
0.036722,0.000521,0.036719,0.001348,0.083251,-0.081292,0.164543,1.804987,2.267048,48.83,0.001007,HEALTHY
0.037236,0.000482,0.037233,0.001386,0.085018,-0.081994,0.167013,1.816801,2.283232,48.83,0.001058,HEALTHY
0.03742,0.000571,0.037416,0.0014,0.082227,-0.082069,0.164296,1.767482,2.197389,48.83,0.001063,HEALTHY
0.036951,-1.2e-05,0.036951,0.001365,0.078382,-0.080654,0.159036,1.780976,2.121226,48.83,0.001023,HEALTHY
0.037078,4.9e-05,0.037078,0.001375,0.084509,-0.088765,0.173273,1.826944,2.279184,48.83,0.001054,HEALTHY
0.037419,0.000787,0.037411,0.0014,0.086138,-0.080093,0.166231,1.819065,2.30198,48.83,0.001079,HEALTHY
0.036644,0.000296,0.036643,0.001343,0.074013,-0.087594,0.161607,1.794153,2.019761,48.83,0.001043,HEALTHY
0.03721,-0.000152,0.03721,0.001385,0.078416,-0.080499,0.158915,1.828001,2.107359,48.83,0.001048,HEALTHY
0.037226,0.000246,0.037225,0.001386,0.081391,-0.092358,0.173749,1.846439,2.186385,48.83,0.00105,HEALTHY
0.037575,0.000249,0.037574,0.001412,0.089941,-0.078695,0.168636,1.812685,2.393609,48.83,0.00108,HEALTHY
0.037335,0.000242,0.037334,0.001394,0.088349,-0.084875,0.173224,1.797359,2.36638,48.83,0.001031,HEALTHY
0.03726,0.000648,0.037254,0.001388,0.089163,-0.084263,0.173426,1.822565,2.392997,48.83,0.001037,HEALTHY
0.037027,0.00022,0.037026,0.001371,0.080429,-0.082418,0.162847,1.79093,2.172204,48.83,0.001058,HEALTHY
0.036814,0.000656,0.036808,0.001355,0.07915,-0.075659,0.154809,1.77819,2.150002,48.83,0.00104,HEALTHY
0.037459,0.000652,0.037453,0.001403,0.078552,-0.083048,0.161601,1.81907,2.097048,48.83,0.001076,HEALTHY
0.036899,-4.1e-05,0.036899,0.001362,0.07697,-0.083413,0.160383,1.804821,2.085959,48.83,0.001041,HEALTHY
0.03729,0.000288,0.037289,0.00139,0.092351,-0.079925,0.172276,1.786815,2.476568,48.83,0.001049,HEALTHY
0.037086,0.000689,0.037079,0.001375,0.082093,-0.079663,0.161756,1.820313,2.213595,48.83,0.001055,HEALTHY
0.036916,-5.8e-05,0.036915,0.001363,0.075363,-0.079065,0.154428,1.784396,2.041501,48.83,0.001024,HEALTHY
0.037388,0.000357,0.037386,0.001398,0.081586,-0.083507,0.165092,1.803687,2.182139,48.83,0.001031,HEALTHY
0.037055,0.00052,0.037052,0.001373,0.082503,-0.080971,0.163474,1.785705,2.226497,48.83,0.001042,HEALTHY
0.037167,0.000593,0.037162,0.001381,0.077398,-0.078902,0.1563,1.817744,2.08246,48.83,0.00105,HEALTHY
0.036919,0.000621,0.036914,0.001363,0.078254,-0.083838,0.162091,1.82783,2.119597,48.83,0.001023,HEALTHY
0.036694,0.000623,0.036689,0.001346,0.085717,-0.092747,0.178463,1.819193,2.335963,48.83,0.001023,HEALTHY
0.036928,0.00071,0.036921,0.001363,0.079316,-0.082808,0.162124,1.834202,2.147865,48.83,0.001055,HEALTHY
0.037234,0.000395,0.037232,0.001386,0.086316,-0.079892,0.166209,1.795772,2.31822,48.83,0.001075,HEALTHY
0.036988,0.000529,0.036985,0.001368,0.081906,-0.089351,0.171257,1.814408,2.214373,48.83,0.001034,HEALTHY
0.036969,0.000568,0.036965,0.001366,0.077367,-0.082052,0.159419,1.816613,2.092712,48.83,0.001044,HEALTHY
0.037082,-0.000279,0.037081,0.001375,0.085803,-0.082621,0.168424,1.801891,2.313891,48.83,0.001024,HEALTHY
0.037068,1.5e-05,0.037068,0.001374,0.080717,-0.080345,0.161061,1.830971,2.177525,48.83,0.001055,HEALTHY
0.037307,0.000985,0.037294,0.001391,0.087682,-0.090248,0.17793,1.846289,2.350283,48.83,0.00103,HEALTHY
0.036828,0.000272,0.036827,0.001356,0.084044,-0.088398,0.172442,1.79582,2.282086,48.83,0.00103,HEALTHY
0.037102,0.000478,0.037099,0.001376,0.092177,-0.081332,0.173509,1.806962,2.484399,48.83,0.001061,HEALTHY
0.037027,0.000177,0.037027,0.001371,0.083234,-0.083353,0.166587,1.757787,2.247904,48.83,0.001046,HEALTHY
0.037572,0.00019,0.037571,0.001412,0.08457,-0.078851,0.163421,1.833518,2.250887,48.83,0.001066,HEALTHY
0.036788,0.000124,0.036787,0.001353,0.082876,-0.077477,0.160352,1.830186,2.252817,48.83,0.001019,HEALTHY
0.036951,0.000196,0.036951,0.001365,0.086928,-0.080903,0.167831,1.84067,2.352521,48.83,0.001028,HEALTHY
0.037381,0.000813,0.037372,0.001397,0.088916,-0.078797,0.167713,1.820018,2.378652,48.83,0.001072,HEALTHY
0.03712,8.7e-05,0.03712,0.001378,0.079561,-0.087579,0.167141,1.802898,2.143333,48.83,0.00104,HEALTHY
0.037269,0.000119,0.037269,0.001389,0.086687,-0.078064,0.164751,1.814892,2.326007,48.83,0.001049,HEALTHY
0.037101,-0.000224,0.037101,0.001376,0.081705,-0.080948,0.162653,1.773123,2.202207,48.83,0.001023,HEALTHY
0.03714,-3e-05,0.03714,0.001379,0.093219,-0.080502,0.173721,1.802793,2.509968,48.83,0.001058,HEALTHY
0.037114,0.000771,0.037106,0.001377,0.07511,-0.081844,0.156955,1.803378,2.023756,48.83,0.00101,HEALTHY
0.03728,0.000784,0.037272,0.001389,0.083174,-0.087627,0.170801,1.817206,2.231048,48.83,0.001052,HEALTHY
0.037444,0.001058,0.037429,0.001401,0.08576,-0.080662,0.166422,1.845675,2.290372,48.83,0.001057,HEALTHY
0.037087,0.000227,0.037086,0.001375,0.088069,-0.093494,0.181563,1.828573,2.374682,48.83,0.001063,HEALTHY
0.036946,0.000408,0.036944,0.001365,0.082626,-0.087386,0.170012,1.835634,2.236409,48.83,0.001039,HEALTHY
0.037115,0.000316,0.037114,0.001377,0.079042,-0.082031,0.161073,1.830934,2.129648,48.83,0.001046,HEALTHY
0.037177,0.000359,0.037175,0.001382,0.078107,-0.081477,0.159585,1.797853,2.100957,48.83,0.001044,HEALTHY
0.036723,0.000375,0.036721,0.001348,0.07736,-0.080936,0.158296,1.811074,2.106556,48.83,0.001021,HEALTHY
0.036732,0.000709,0.036725,0.001349,0.080962,-0.088645,0.169607,1.843131,2.20411,48.83,0.00103,HEALTHY
0.036991,0.000176,0.036991,0.001368,0.085968,-0.085816,0.171784,1.810778,2.324016,48.83,0.001036,HEALTHY
0.036927,-9.5e-05,0.036927,0.001364,0.083425,-0.081682,0.165107,1.825158,2.259151,48.83,0.00104,HEALTHY
0.037157,0.000199,0.037156,0.001381,0.077329,-0.082258,0.159587,1.798036,2.081162,48.83,0.001072,HEALTHY
0.036767,0.000321,0.036765,0.001352,0.0819,-0.080856,0.162756,1.822688,2.22756,48.83,0.001029,HEALTHY
0.036917,0.000271,0.036916,0.001363,0.083009,-0.079804,0.162814,1.825229,2.248538,48.83,0.001046,HEALTHY
0.037019,0.00031,0.037017,0.00137,0.084011,-0.082012,0.166023,1.82519,2.269424,48.83,0.001037,HEALTHY
0.036641,0.000737,0.036634,0.001342,0.078862,-0.07961,0.158472,1.787179,2.152296,48.83,0.001038,HEALTHY
0.036938,0.000408,0.036936,0.001364,0.082496,-0.08197,0.164466,1.814057,2.233341,48.83,0.001069,HEALTHY
0.037114,0.000594,0.037109,0.001377,0.082596,-0.081043,0.163639,1.79592,2.225444,48.83,0.001051,HEALTHY
0.036863,0.000383,0.036861,0.001359,0.079973,-0.085225,0.165198,1.820049,2.169472,48.83,0.00101,HEALTHY
0.036768,0.000658,0.036762,0.001351,0.089125,-0.084065,0.17319,1.829571,2.42401,48.83,0.001007,HEALTHY
0.037091,0.00027,0.03709,0.001376,0.089479,-0.086058,0.175537,1.845891,2.412418,48.83,0.001061,HEALTHY
0.03679,0.000935,0.036778,0.001353,0.082124,-0.085355,0.167479,1.826852,2.232249,48.83,0.001018,HEALTHY
0.037254,0.000578,0.03725,0.001388,0.079737,-0.076032,0.155769,1.772548,2.140335,48.83,0.001086,HEALTHY
0.037037,0.000586,0.037033,0.001371,0.083903,-0.082119,0.166021,1.807587,2.265355,48.83,0.001056,HEALTHY
0.036793,0.000386,0.036791,0.001354,0.090108,-0.081556,0.171664,1.7916,2.449043,48.83,0.001016,HEALTHY
0.036736,0.000712,0.036729,0.001349,0.078625,-0.081089,0.159714,1.829118,2.140295,48.83,0.001014,HEALTHY
0.037134,0.000427,0.037132,0.001379,0.084152,-0.085788,0.16994,1.8272,2.26615,48.83,0.001063,HEALTHY
0.037589,0.000369,0.037587,0.001413,0.080281,-0.084433,0.164714,1.79418,2.135771,48.83,0.00106,HEALTHY
0.037121,0.00066,0.037115,0.001378,0.088345,-0.079528,0.167874,1.807151,2.379942,48.83,0.001049,HEALTHY
0.0371,0.000756,0.037092,0.001376,0.077582,-0.086824,0.164406,1.803159,2.091193,48.83,0.001026,HEALTHY
0.037062,0.000569,0.037058,0.001373,0.081377,-0.08356,0.164937,1.809447,2.195693,48.83,0.001028,HEALTHY
0.036901,0.000607,0.036896,0.001361,0.086228,-0.08987,0.176098,1.819955,2.336713,48.83,0.001034,HEALTHY
0.037298,0.00027,0.037297,0.001391,0.079442,-0.083247,0.162688,1.806692,2.129902,48.83,0.001025,HEALTHY
0.037406,0.000425,0.037403,0.001399,0.08346,-0.09977,0.18323,1.828797,2.231197,48.83,0.001047,HEALTHY
0.037132,0.000518,0.037129,0.001379,0.088723,-0.081912,0.170635,1.846129,2.389378,48.83,0.00105,HEALTHY
0.036916,0.000596,0.036911,0.001362,0.085028,-0.082617,0.167645,1.818478,2.303283,48.83,0.001047,HEALTHY
0.036823,0.000535,0.03682,0.001356,0.093138,-0.092648,0.185785,1.826426,2.529302,48.83,0.001008,HEALTHY
0.037188,9.5e-05,0.037188,0.001383,0.079525,-0.083696,0.163221,1.804022,2.138458,48.83,0.001056,HEALTHY
0.037362,0.000285,0.037361,0.001396,0.089295,-0.078342,0.167637,1.793434,2.389977,48.83,0.001066,HEALTHY
0.037127,0.000192,0.037127,0.001378,0.080746,-0.076567,0.157313,1.793909,2.174858,48.83,0.001035,HEALTHY
0.037318,7.8e-05,0.037318,0.001393,0.084054,-0.088847,0.172901,1.808638,2.252367,48.83,0.00104,HEALTHY
0.037047,0.000167,0.037047,0.001372,0.080601,-0.086735,0.167336,1.821727,2.175623,48.83,0.001017,HEALTHY
0.037006,0.000109,0.037006,0.001369,0.080859,-0.088636,0.169496,1.834746,2.185037,48.83,0.001054,HEALTHY
0.037162,0.000554,0.037158,0.001381,0.075611,-0.083839,0.15945,1.799906,2.034636,48.83,0.001035,HEALTHY
0.037014,0.000462,0.037011,0.00137,0.08865,-0.084715,0.173365,1.817974,2.395011,48.83,0.001007,HEALTHY
0.037206,9.5e-05,0.037206,0.001384,0.083533,-0.086818,0.170351,1.817284,2.245126,48.83,0.001037,HEALTHY
0.03685,0.000234,0.036849,0.001358,0.093413,-0.085444,0.178857,1.848314,2.534925,48.83,0.001011,HEALTHY
0.037144,0.000282,0.037143,0.00138,0.081323,-0.080607,0.16193,1.797137,2.189418,48.83,0.001034,HEALTHY
0.036709,0.000501,0.036706,0.001347,0.082857,-0.083767,0.166624,1.809379,2.257111,48.83,0.001048,HEALTHY
0.037295,0.00046,0.037292,0.001391,0.086089,-0.093213,0.179302,1.821502,2.308298,48.83,0.001066,HEALTHY
0.036839,0.000585,0.036834,0.001357,0.076143,-0.084679,0.160822,1.823064,2.06693,48.83,0.001031,HEALTHY
0.037286,0.000506,0.037283,0.00139,0.08175,-0.083043,0.164793,1.813204,2.192499,48.83,0.00106,HEALTHY
0.036873,0.000895,0.036862,0.001359,0.093837,-0.081589,0.175426,1.862166,2.544855,48.83,0.001026,HEALTHY
0.036928,0.000319,0.036927,0.001364,0.082766,-0.081113,0.163879,1.820277,2.241286,48.83,0.001037,HEALTHY
0.037156,0.000209,0.037155,0.001381,0.080795,-0.083175,0.16397,1.8119,2.174498,48.83,0.001037,HEALTHY
0.037031,0.000477,0.037028,0.001371,0.083373,-0.089283,0.172656,1.811159,2.251423,48.83,0.001052,HEALTHY
0.036757,0.000268,0.036756,0.001351,0.07883,-0.08264,0.161469,1.780483,2.14464,48.83,0.001027,HEALTHY
0.037071,0.000263,0.03707,0.001374,0.078395,-0.080099,0.158494,1.815212,2.114731,48.83,0.001037,HEALTHY
0.036931,0.00032,0.03693,0.001364,0.080109,-0.094335,0.174444,1.820674,2.169132,48.83,0.001049,HEALTHY
0.036854,0.000539,0.03685,0.001358,0.081444,-0.080601,0.162045,1.7838,2.209905,48.83,0.001016,HEALTHY
0.036861,0.000476,0.036858,0.001358,0.089374,-0.082886,0.17226,1.82116,2.424642,48.83,0.001052,HEALTHY
0.037445,0.000562,0.037441,0.001402,0.081886,-0.080864,0.16275,1.854493,2.186847,48.83,0.001068,HEALTHY
0.037153,0.000167,0.037153,0.00138,0.083344,-0.08702,0.170364,1.844399,2.243234,48.83,0.001067,HEALTHY
0.037022,0.000185,0.037021,0.001371,0.078095,-0.083454,0.161549,1.831879,2.109419,48.83,0.001028,HEALTHY
0.03648,-1.5e-05,0.03648,0.001331,0.090152,-0.081306,0.171459,1.807691,2.471292,48.83,0.001009,HEALTHY
0.037148,0.00074,0.03714,0.001379,0.092231,-0.094402,0.186633,1.821334,2.482822,48.83,0.001029,HEALTHY
0.03698,0.000435,0.036978,0.001367,0.09108,-0.084644,0.175724,1.81157,2.462926,48.83,0.001034,HEALTHY
0.036904,0.000175,0.036903,0.001362,0.083649,-0.093125,0.176774,1.793789,2.266683,48.83,0.001036,HEALTHY
